Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Co-Working  space in Wakad, Pune for Rent","Indira College Rd, near Ginger Pune Wakad","15,000No Extra Maintenance","45,000",425 sqft 35.29 per Sq.Ft.,Co-Working,ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Jambe, Pune for Rent","Rajgruha Housing Society , Opp. Last bus stop of PMPL Jambe","10,000No Extra Maintenance","30,000",280 sqft 35.71 per Sq.Ft.,Co-Working,Public And ReservedParking,UnfurnishedFurnishing,14-Jun-2023Available From
"Co-Working  space in Mhada Colony, Pune for Rent","2, New Airport Rd, Survey Number 235, Mhada Colony, Sanjay Park, Pune, Maharashtra 411006, 10 Biz Park","30,000No Extra Maintenance",1.2 Lacs,550 sqft 54.55 per Sq.Ft.,Co-Working,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","NEAR NEHRUNAGAR HOCKY STADIUM, T-57 ANUCOOL CHOWK.","7,000No Extra Maintenance","10,000","5,000 sqft 1.40 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","PMT Chowk, near Jogeshwari Misal","10,000No Extra Maintenance","50,000",480 sqft 20.83 per Sq.Ft.,Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Finswell, Pune for Rent","Viman nagar, next to Bajaj Finserv","4,000No Extra Maintenance","12,000",750 sqft 5.33 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Sakore Nagar, Pune for Rent","Viman Nagar, Finswell","4,000No Extra Maintenance","12,000",500 sqft 8.00 per Sq.Ft.,Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Pimple Saudagar, Pune for Rent","Shivar Chowk, near Shivar Garden Restaurant","18,000No Extra Maintenance","50,000",800 sqft 22.50 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,30-Jun-2023Available From
"Co-Working  space in Viman Nagar, Pune for Rent","Airport road , Opposite Townsquare Building","5,000No Extra Maintenance","10,000","1,500 sqft 3.33 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Wakad, Pune for Rent","aundh ravet road, Pride Purple square","7,990 +250Maintenance","50,000",710 sqft 11.25 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Chinchwad, Pune for Rent","Pimpri Road, Talera Hospital","30,000No Extra Maintenance",1.5 Lacs,"1,100 sqft 27.27 per Sq.Ft.",Co-Working,Public And ReservedParking,Semi furnishedFurnishing,04-Jun-2023Available From
"Co-Working  space in Pimpri-chinchwad, Pune for Rent","Wakad, Near  Lonkar residency","80,000 +5,000Maintenance",30 Lacs,"1,126 sqft 71.05 per Sq.Ft.",Co-Working,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Hinjawadi, Pune for Rent","Unnamed Road, Meza 9.","6,500No Extra Maintenance","20,000","2,250 sqft 2.89 per Sq.Ft.",Co-Working,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Co-Working  space in Kaspate Wasti, Wakad, Pune for Rent","sonigra landmark, ","15,000No Extra Maintenance","30,000","1,000 sqft 15.00 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Sakore Nagar, , Pune for Rent","Viman Nagar, opposite saraswat bank","5.5 Lacs +7,000Maintenance",16.5 Lacs,"3,965 sqft 138.71 per Sq.Ft.",Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","S Block, Near Thakur Crane & Transport Services","75,000No Extra Maintenance",2 Lacs,"4,000 sqft 18.75 per Sq.Ft.",Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Wakad, Pune for Rent","Shankar Kalat Nagar, Pimpri-Chinchwad, Near Hotel Sanket Inn","35,000No Extra Maintenance","70,000","1,000 sqft 35.00 per Sq.Ft.",Co-Working,PublicParking,Fully furnishedFurnishing,14-Jun-2023Available From
"Co-Working  space in Dapodi, Pune for Rent","Siddhi Towers A wing, Vineyard Workers Church","12,000 +1,000Maintenance","40,000","1,500 sqft 8.00 per Sq.Ft.",Co-Working,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in  Old Sangvi, Pune for Rent","Sangam Cross Rd, Baburao Dhore Bhavan","20,000No Extra Maintenance","75,000",450 sqft 44.44 per Sq.Ft.,Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Quick Office Coworking Space- Shared Office Space Pune, Pune for Rent","Wakad-Hinjawadi Road,, White Square, Hinjewadi","5,000No Extra Maintenance","10,000","5,000 sqft 1.00 per Sq.Ft.",Co-Working,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in New Sanghavi, Pune for Rent","Famous chowk, Near Shivneri misal","10,000No Extra Maintenance","25,000",150 sqft 66.67 per Sq.Ft.,Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Kalyani Nagar, Pune for Rent","Nilanjali Society, The Bishop's Co-Ed School","2.5 Lacs +15,000Maintenance",12.5 Lacs,"5,000 sqft 50.00 per Sq.Ft.",Co-Working,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Wadgaon Sheri, Pune for Rent","kalyani nagar annex, In front of shivaji garden, and near shivaji putla; adjacent to Brahma suncity","20,000No Extra Maintenance","60,000",900 sqft 22.22 per Sq.Ft.,Co-Working,NoneParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Xion Mall, Pune for Rent","Hinjewadi Wakad, Relience Mall","3,500No Extra Maintenance","5,000",500 sqft 7.00 per Sq.Ft.,Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Sector 25, Pune for Rent","Bhel chowk road, Beside Gayatri hotel","5,500No Extra Maintenance","5,500",400 sqft 13.75 per Sq.Ft.,Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Chikhali, Pune for Rent","Siddhivinayak industrial estate, King weigh bridge","27,000No Extra Maintenance",1.2 Lacs,"2,000 sqft 13.50 per Sq.Ft.",Industrial Shed,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Pimpri-chinchwad, Pune for Rent","ICC Devi Gaurav Technology Park, Mitsubishi Electric India Pvt Ltd","60,000No Extra Maintenance",2.4 Lacs,"2,000 sqft 30.00 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Mamurdi, Pune for Rent","Sai Nagar, Dehu Road, Forest Hills Society","8,000No Extra Maintenance","20,000","2,000 sqft 4.00 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Chikhali, Pune for Rent","Chikhali Shelar Vasti Dehu - Alandi Rd , Kapila Enterprises","70,000No Extra Maintenance",3 Lacs,"5,000 sqft 14.00 per Sq.Ft.",Industrial Shed,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in  Bhosari, Pune for Rent","Pimpri-Chinchwad rd, Century Enka Limited",1.5 LacsNo Extra Maintenance,5 Lacs,"4,500 sqft 33.33 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in  Pimpri-chinchwad, Pune for Rent","Sonwane Wasti Rd, Chikhali, Vishwakalyan School - CBSE Affiliated",6 LacsNo Extra Maintenance,24 Lacs,"40,000 sqft 15.00 per Sq.Ft.",Industrial Shed,ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Bhosari, Pune for Rent","Pune - Nashik Hwy, , Desai Hospital","20,000No Extra Maintenance","60,000","5,000 sqft 4.00 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Bhosari, Pune for Rent","Panjarpol, Bhosari , godawon chowk","15,000No Extra Maintenance","60,000","1,000 sqft 15.00 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Chikhali, Pune for Rent","Mhetre Wadi, near Mauli niwas Namdeo Housing society","36,000No Extra Maintenance",1.5 Lacs,"3,000 sqft 12.00 per Sq.Ft.",Industrial Shed,ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in 117, Rajwada Sector 2 Bhosari,, Pune for Rent","Indrayani Nagar Sector 2, Shri swami samrthi","10,000No Extra Maintenance","15,000",400 sqft 25.00 per Sq.Ft.,Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Hinjawadi, Pune for Rent","Hinjawadi - Aundh Road, rangnath vitthal jambhulkar pravesh dwar ",3 LacsNo Extra Maintenance,10 Lacs,"10,000 sqft 30.00 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Talwade, Pune for Rent","Dehu alandi road, near KRTC engineering gat no. 50","33,000No Extra Maintenance",1 Lac,"2,200 sqft 15.00 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Pimpri-chinchwad, Pune for Rent","MIDC, Pimpri Colony, , Tata Motors","22,000No Extra Maintenance","66,000",700 sqft 31.43 per Sq.Ft.,Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Talawade, Pune for Rent","Jyotiba Nagar near , Jyotiba Temple","45,000No Extra Maintenance",2 Lacs,"3,000 sqft 15.00 per Sq.Ft.",Industrial Shed,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Tathawade, Pune for Rent"," Aundh - Ravet BRTS Rd, , Raaga Imperio | Restaurant | Top Banquet Hall Pcmc","40,000No Extra Maintenance",1.2 Lacs,"2,000 sqft 20.00 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Pimpri-chinchwad, Pune for Rent","Jyotiba Nagar, Talwade chikle, Bhosale wajan kata",1.5 LacsNo Extra Maintenance,9 Lacs,"7,980 sqft 18.80 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Bhosari, Pune for Rent","MIDC Sector 2, Near Vip Vishweshwar",1.7 LacsNo Extra Maintenance,8 Lacs,"5,000 sqft 34.00 per Sq.Ft.",Industrial Shed,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Vishweshwar Chowk, Pune for Rent","sector 10, Near Cotmac Electronics",1.35 LacsNo Extra Maintenance,5 Lacs,"5,200 sqft 25.96 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Bhosari, Pune for Rent","Pune - Nashik Hwy, Central Training Institute, (Maharashtra State Road Transport Corporation)",2.45 Lacs +No Extra Maintenance,7.35 Lacs,"8,000 sqft 30.63 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Talwade, Pune for Rent","Talawade Rd, near Hotel Pandurang Krupa",1.5 LacsNo Extra Maintenance,6 Lacs,"10,000 sqft 15.00 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,30-Jun-2023Available From
"Industrial Shed in Chikhali, Pune for Rent","Hargude Vasti,, near Panchsheel Filters Pvt Ltd","30,000No Extra Maintenance",1.5 Lacs,"1,500 sqft 20.00 per Sq.Ft.",Industrial Shed,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Hinjawadi, Pune for Rent","wakad Hinjawadi Road, behind Hotel Madhuban","25,000No Extra Maintenance",1 Lac,"2,152 sqft 11.62 per Sq.Ft.",Industrial Shed,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Talawade, Pune for Rent","ascent engineers, jyotiba Temple","40,000No Extra Maintenance",2.5 Lacs,"3,000 sqft 13.33 per Sq.Ft.",Industrial Shed,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Chikhali, Pune for Rent","Pawarwasti road 12, Kudalwadi","5,000No Extra Maintenance","15,000",500 sqft 10.00 per Sq.Ft.,Industrial Shed,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Shed in Chakan, Pune for Rent","Midc road, Near AllTech",2.1 Lacs +No Extra Maintenance,12 Lacs,"12,500 sqft 16.80 per Sq.Ft.",Industrial Shed,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Bhosari, Pune for Rent","MIDC, Bhosari IE Sub Post Office new location","55,000No Extra Maintenance",3 Lacs,"1,500 sqft 36.67 per Sq.Ft.",Industrial Building,PublicParking,Semi furnishedFurnishing,31-May-2023Available From
"Industrial Building in Hinjawadi, Pune for Rent","Hinjewadi Phase 2 Rd,, 220 KV Hinjawadi Ph 2 Sub Station",3.6 LacsNo Extra Maintenance,21.6 Lacs,"6,000 sqft 60.00 per Sq.Ft.",Industrial Building,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Bhosari, Pune for Rent","Rajdhani Industraial Complex. MIDC EL 13/3 . near Capjemini. Bhosari, opposite scope","30,000No Extra Maintenance",1 Lac,450 sqft 66.67 per Sq.Ft.,Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Hinjewadi Phase 1, Pune for Rent","Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pimpri-Chinchwad, Maharashtra, Behind , Planet 9","10,000 +1,000Maintenance","10,000","5,000 sqft 2.00 per Sq.Ft.",Industrial Building,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent"," Kalbhor Nagar, Near  St Andrews High school  ","16,000No Extra Maintenance","50,000",470 sqft 34.04 per Sq.Ft.,Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in  Bhosari, Pune for Rent"," Indrayani Nagar Sector 2, Shri swami samrthi","4,500No Extra Maintenance","15,000",200 sqft 22.50 per Sq.Ft.,Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent","MIDC, Pimpri Colony, , Tata Motors","35,000No Extra Maintenance",1.05 Lacs,"1,800 sqft 19.44 per Sq.Ft.",Industrial Building,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Moshi, Pune for Rent","nanekarwadi-pune highway, NearRadhika Furniture Mall ","25,000No Extra Maintenance",1 Lac,"1,000 sqft 25.00 per Sq.Ft.",Industrial Building,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Chinchwad, Pune for Rent","Shree Sant Dnyaneshwar Industrial Estate, Near Mohan nagar Police chowki ",1 LacNo Extra Maintenance,5 Lacs,"3,000 sqft 33.33 per Sq.Ft.",Industrial Building,ReservedParking,Semi furnishedFurnishing,19-May-2023Available From
"Industrial Building in Bhosari, Pune for Rent","Mohan nagar alankapuram road, near water purifier plant","16,000No Extra Maintenance","30,000","1,000 sqft 16.00 per Sq.Ft.",Industrial Building,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Dighi, Pune for Rent","Gaikwad Nagar, Vijay Nagar,, Near  Bhagini Nivedita Pratishthan Pune","13,000 +500Maintenance","20,000",750 sqft 17.33 per Sq.Ft.,Industrial Building,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent","MIDC, Bhosari,, near Basveshwar Industrial Complex",6 LacsNo Extra Maintenance,20 Lacs,"14,500 sqft 41.38 per Sq.Ft.",Industrial Building,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pune, Pune for Rent","pm house, kp","15,000No Extra Maintenance","20,000",600 sqft 25.00 per Sq.Ft.,Industrial Building,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent","midc ,  bhosari , bharat electronics limited ","22,000 +1,000Maintenance",1 Lac,900 sqft 24.44 per Sq.Ft.,Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri Colony, Pune for Rent","Laxmi Industrial Complex, Tata motors Material Gate","40,000No Extra Maintenance",1 Lac,"1,500 sqft 26.67 per Sq.Ft.",Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Midc Bhosari, Pune for Rent","plot  144 sector 7, sector 7 MIDC","1.25 Lacs +10,000Maintenance",8 Lacs,"4,000 sqft 31.25 per Sq.Ft.",Industrial Building,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in  Nigdi, Pune for Rent","Triveni Nagar, rupeenagar , Government School And Rupinagar Nigdi","35,000No Extra Maintenance",1 Lac,"3,070 sqft 11.40 per Sq.Ft.",Industrial Building,NoneParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent","MIDC,  Plasma Industries MIDC",4 LacsNo Extra Maintenance,24 Lacs,"9,500 sqft 42.11 per Sq.Ft.",Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Sharayu Toyota - Toyota Car Dealers, Pune for Rent","near quality circle, ","30,000No Extra Maintenance",1 Lac,"1,000 sqft 30.00 per Sq.Ft.",Industrial Building,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimple Nilkah, Pune for Rent","dp road, vishal nagar ,Vasundhara Plaza, Shivsagar hotel, sathe petrol pump,  24k glitterite ","30,000 +1,000Maintenance",1 Lac,750 sqft 40.00 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Chinchwad, Pune for Rent","Anand Nagar, Carnival Cinemas Chinchwad","40,000No Extra Maintenance",2 Lacs,550 sqft 72.73 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
