Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Office Space in Pimpri-chinchwad, Pune for Rent","Old Mumbai - Pune Hwy,Kasarwadi, Near Nashik Phata Metro Station","16,000No Extra Maintenance","50,000",300 sqft 53.33 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in F-residences By Bramhacorp At New Kalyani Nagar, Pune for Rent","New Kalyani Nagar, ","28,000No Extra Maintenance","90,000",420 sqft 66.67 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,12-May-2023Available From
"Office Space in Pimpri  Chinchwad, Pune for Rent","Pimple Saudagar, Govind Garden","48,000No Extra Maintenance",2.4 Lacs,"1,700 sqft 28.24 per Sq.Ft.",Office Space,PublicParking,UnfurnishedFurnishing,30-May-2023Available From
"Office Space in Om Chambers, Pune for Rent","bhosari, telco road","5 Lacs +50,000Maintenance",30 Lacs,"8,300 sqft 60.24 per Sq.Ft.",Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimpri Colony, Pune for Rent","Pimpri,kothari chouk, Kamala Cross Road, Opp.pcmc building ","27,000No Extra Maintenance",1 Lac,410 sqft 65.85 per Sq.Ft.,Office Space,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Office Space in Lms Realites Viman Nagar, Pune for Rent","Sakorenagar, Bajaj Finserv","82,000No Extra Maintenance",2 Lacs,"1,050 sqft 78.10 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,12-May-2023Available From
"Office Space in Suratwala Mark Plazzo, Pune for Rent","Hinjawadi Road, Indian oil petrol pump","65,000 +5,000Maintenance",5 Lacs,"1,100 sqft 59.09 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,18-May-2023Available From
"Office Space in Viman Nagar, Pune for Rent","Datta Mandir Chowk, Apollo Clinic","65,000 +6,000Maintenance",3 Lacs,"1,026 sqft 63.35 per Sq.Ft.",Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Hinjawadi, Pune for Rent","Near ganesh temple, KPIT Cummins Infotech ","55,000 +5,000Maintenance",1.5 Lacs,"2,500 sqft 22.00 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimple Saudagar, Pune for Rent","Pimple Saudagar , BRTS Route, Shubham Heights","15,000 +1,100Maintenance","50,000",201 sqft 74.63 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,17-May-2023Available From
"Office Space in Bhumkar Chowk, Pune for Rent","bhumkar chowk, ginger hotel","20,000No Extra Maintenance","50,000",250 sqft 80.00 per Sq.Ft.,Office Space,Public And ReservedParking,Fully furnishedFurnishing,11-Jul-2023Available From
"Office Space in  Pimpri-chinchwad, Pune for Rent","Ganesh Nagar, Near Mahalaxmi Mandir, Famous Chowk near , Datta Mandir Road","70,000No Extra Maintenance",1.5 Lacs,"1,735 sqft 40.35 per Sq.Ft.",Office Space,PublicParking,UnfurnishedFurnishing,04-Jul-2023Available From
"Office Space in Hinjawadi, Pune for Rent","Hinjawadi Rajiv Gandhi Infotech Park,, MSEB office","25,000No Extra Maintenance",1.5 Lacs,525 sqft 47.62 per Sq.Ft.,Office Space,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Viman Nagar, Pune for Rent","behind Novotel Hotel , Next to Hyatt Hotel ","63,000 +No Extra Maintenance",2.5 Lacs,910 sqft 69.23 per Sq.Ft.,Office Space,ReservedParking,UnfurnishedFurnishing,14-May-2023Available From
"Office Space in Kalewadi, Pune for Rent","Sneh Colony Road, athvan hotel","15,000No Extra Maintenance","50,000",220 sqft 68.18 per Sq.Ft.,Office Space,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Viman Nagar, Pune for Rent","Sakore Nagar, Platinum Square Building","68,000 +5,000Maintenance",3.5 Lacs,805 sqft 84.47 per Sq.Ft.,Office Space,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Shastrinagar, Pune for Rent","Nagar Rd, Canary High, International School","70,000No Extra Maintenance",3.5 Lacs,"1,585 sqft 44.16 per Sq.Ft.",Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Godambe Chowk, Pune for Rent","Near Thopate lawns, Rahatni, pune","76,400No Extra Maintenance",5 Lacs,958 sqft 79.75 per Sq.Ft.,Office Space,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Rahatani,, Pune for Rent","STERLING BLOOMS, Rahatani Chowk",2.3 LacsNo Extra Maintenance,13.8 Lacs,958 sqft 240.00 per Sq.Ft.,Office Space,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in  Pimpri-chinchwad,, Pune for Rent"," Wakad, Near  Wisteriaa Fortune","26,000 +4,000Maintenance","75,000",543 sqft 47.88 per Sq.Ft.,Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Wakad, Pune for Rent","Kaspatewast,Hotel Ambience Excellency, Hotel Ambience Excellency","29,000 +3,000Maintenance",1.45 Lacs,700 sqft 41.43 per Sq.Ft.,Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in  New Sanghavi, Pune for Rent","Pimpri Gurav Nagar,, near MH 14 FOOD COURTT","23,000No Extra Maintenance","50,000","1,200 sqft 19.17 per Sq.Ft.",Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office in Moshi, Pune for Rent","RTO link road , Privia Business Centre Pune","12,000 +1,500Maintenance","50,000",250 sqft 48.00 per Sq.Ft.,Office,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pimpri-chinchwad,, Pune for Rent","Sahyadri colony, Bhau Saheb Kadam Nagar,, near Baramati Sahakari Bank Sangavi","25,000No Extra Maintenance","50,000",700 sqft 35.71 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in New Sanghavi, Pune for Rent"," Samarth Nagar, near Gayatri Bhel","20,000No Extra Maintenance","40,000","1,000 sqft 20.00 per Sq.Ft.",Other business,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Bhosari , Pune for Rent","Commercial Complex, Bhosari Alandi Road, Ghawane Petrol Pump","35,000No Extra Maintenance",1 Lac,500 sqft 70.00 per Sq.Ft.,Other business,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pimple Gurav, Pune for Rent","Suyog niwas Jai mobile opposite to kotak ATM, Near chaitanya jewellers Kate puram chowk","16,000No Extra Maintenance","30,000",650 sqft 24.62 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,31-May-2023Available From
"Commercial Property in Pimpri Colony, Pune for Rent","vyabhav Nagar, ,  Shree Mudra Ganesh Mandir","25,000No Extra Maintenance","50,000",800 sqft 31.25 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Jadhav Corner &#40; Kala Khadak&#41;, Pune for Rent","Ashraya hospital, ","40,000 +5,000Maintenance",1.5 Lacs,"1,000 sqft 40.00 per Sq.Ft.",Other business,ReservedParking,UnfurnishedFurnishing,30-Jun-2023Available From
"Commercial Property in New Sanghavi, Pune for Rent","Krishna Chowk, Shree Mahalaxmi medico ","30,000No Extra Maintenance",1 Lac,450 sqft 66.67 per Sq.Ft.,Other business,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Jagtap Dairy, Pune for Rent","Pimple Nilakh, Infront of Copa Villa Restaurant","50,000No Extra Maintenance",1 Lac,"1,000 sqft 50.00 per Sq.Ft.",Other business,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Moshi, Pune for Rent","Sant Nagar, Sainath Hospital","5,000No Extra Maintenance","10,000",500 sqft 10.00 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in New Sanghavi, Pune for Rent",1 Shri Mahalakshmi Marg,"30,000No Extra Maintenance",1 Lac,700 sqft 42.86 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pradhikaran, Pune for Rent","Moshi High Street Link Road , Goldfields mall ","15,000No Extra Maintenance","50,000",270 sqft 55.56 per Sq.Ft.,Other business,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Chikhali, Pune for Rent","Chikhali Akurdi Rd, near nyan Sagar English Medium School","50,000No Extra Maintenance",3 Lacs,"1,300 sqft 38.46 per Sq.Ft.",Other business,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Chikhali Akurdi Road, Chikhali, Pune for Rent","chikhli sane chowk road , panchavati apartment ","40,000No Extra Maintenance",1.5 Lacs,"1,300 sqft 30.77 per Sq.Ft.",Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pimpri Chinchwad, Pune for Rent","plot no 163B sector no 23 transport nagar 411044, opposite to nigdi bus depot","15,000No Extra Maintenance","29,000",110 sqft 136.36 per Sq.Ft.,Other business,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pimpri-chinchwad, Pune for Rent","Bijlinagar, Near New English High School",3 LacsNo Extra Maintenance,15 Lacs,"7,000 sqft 42.86 per Sq.Ft.",Other business,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Sambhajinagar, Pune for Rent"," Rakhan society, Chikhali Akurdi Rd, Sambhajinagar, Chinchwad, Pune, Maharashtra 411019, India, NH Food Hub",1.2 LacsNo Extra Maintenance,5 Lacs,"1,000 sqft 120.00 per Sq.Ft.",Other business,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Talwade, Pune for Rent","M I D C Technology Park, Atos Syntel GDC",1.6 LacsNo Extra Maintenance,7 Lacs,"40,000 sqft 4.00 per Sq.Ft.",Other business,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Kasarwadi, Pune for Rent","rahi nam, new maharashtra Bakery","5,000No Extra Maintenance","20,000",220 sqft 22.73 per Sq.Ft.,Other business,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Chinchwad,, Pune for Rent","Chikhali Akurdi Rd , Near Kaka Vada Pav & Snacks Centre",1.2 LacsNo Extra Maintenance,5 Lacs,"1,666 sqft 72.03 per Sq.Ft.",Other business,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Chinchwade Nagar, Pune for Rent","Walhekarwadi Road , Opp. Krishna Veg Treat Hotel",4.5 LacsNo Extra Maintenance,15 Lacs,"6,500 sqft 69.23 per Sq.Ft.",Other business,Public And ReservedParking,Fully furnishedFurnishing,30-Jun-2023Available From
"Commercial Property in Hinjawadi, Pune for Rent","Hinjawadi Village, Suratwala Mark Plaza","50,000No Extra Maintenance",1.5 Lacs,751 sqft 66.58 per Sq.Ft.,Other business,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Pimpri-chinchwad, Pune for Rent","Rahatani Rd, Pimple Saudagar, Radhika Electronics","25,000No Extra Maintenance",5 Lacs,"3,000 sqft 8.33 per Sq.Ft.",Other business,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Moshi, Pune for Rent","Borade Vasti, boradewadi, near silver blue hotel","20,000No Extra Maintenance","50,000",800 sqft 25.00 per Sq.Ft.,Other business,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Rupeenagar, Pune for Rent","Ganesh colony, Near mauli hospital","40,000 +1,000Maintenance",1.5 Lacs,"4,000 sqft 10.00 per Sq.Ft.",Other business,NoneParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Commercial Property in Vision Galleria, Pune for Rent","VISION GALLERIA MALL, ","10,000No Extra Maintenance","60,000","1,000 sqft 10.00 per Sq.Ft.",Other business,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in ?????? ?????, Pune for Rent","Balamal Chowl, Pimpri Gaon, Pimpri Gaon",1 LacNo Extra Maintenance,3 Lacs,900 sqft 111.11 per Sq.Ft.,Restaurant/Cafe,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Tathawade, Pune for Rent","Bhumkar Chowk Road, Azure by Paranjape Schemes","44,000No Extra Maintenance",1.32 Lacs,800 sqft 55.00 per Sq.Ft.,Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimpri Colony, Pune for Rent","Sant Tukaram Nagar, near Dr. D. Y. Patil Medical College, Hospital & Research Centre","9,000 +No Extra Maintenance","18,000",80 sqft 112.50 per Sq.Ft.,Restaurant/Cafe,NoneParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Phase 2, near madhura cafe",1.5 LacsNo Extra Maintenance,10 Lacs,"3,500 sqft 42.86 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Restaurant/Cafe in Pimpri-chinchwad, Pune for Rent","Old Pune-Mumbai highway, Vishal Cinemaas",2 LacsNo Extra Maintenance,15 Lacs,"5,000 sqft 40.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Charholi Budruk, Pune for Rent","Pune - Alandi Rd, Near Chandraphool Lawns",1 LacNo Extra Maintenance,3 Lacs,"5,000 sqft 20.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Kokane Chowk, Pune for Rent","Linear garden, Pk chowk",1.5 LacsNo Extra Maintenance,7.5 Lacs,"1,500 sqft 100.00 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Rahatani, Pune for Rent","laxmi bhakti society, siddhivinayak wind chime","18,000 +900Maintenance","50,000",456 sqft 39.47 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimple Gurav, Pune for Rent","brts road , near kalpataru Society ","18,000 +500Maintenance","50,000",950 sqft 18.95 per Sq.Ft.,Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Tathwade Road, Pune for Rent","rutej, bridge ","40,000 +3,000Maintenance",2 Lacs,"1,200 sqft 33.33 per Sq.Ft.",Restaurant/Cafe,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Carnival Spine City Moshi, Pune for Rent","Privia Square, spine city chawk near bhosari pune",3 LacsNo Extra Maintenance,8 Lacs,"3,500 sqft 85.71 per Sq.Ft.",Restaurant/Cafe,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi , Pune for Rent","Laxmi Chowk Rd, Phase 1,, near Joshi wadewale hotel shambhu","99,000No Extra Maintenance",5 Lacs,"2,000 sqft 49.50 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Phase II,, gera imperium rise",2.64 LacsNo Extra Maintenance,2.64 Lacs,"2,956 sqft 89.31 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Hinjawadi Rd,, Near Thikana Bar","40,000No Extra Maintenance","60,000",300 sqft 133.33 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in  Chikhali, Pune for Rent","Chikhali Akurdi Rd, Nair Colony, Sector No. 19, Saibaba Mandir","35,000No Extra Maintenance",2 Lacs,500 sqft 70.00 per Sq.Ft.,Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Old Mundwa, Pune for Rent","old mudwa road , Krishna Constructions -Lotus Court","85,000No Extra Maintenance",2.5 Lacs,"1,000 sqft 85.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjawadi Village, Hinjawadi, Pune for Rent","Hinjawadi - Wakad Rd, , Vicky's Pizzeria","30,000No Extra Maintenance",2 Lacs,800 sqft 37.50 per Sq.Ft.,Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimpri-chinchwad, Pune for Rent","Nigdi Bhosari Rd, Near Thermax Limited, Chemical Division.","65,000No Extra Maintenance",4 Lacs,833 sqft 78.03 per Sq.Ft.,Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimple Saudagar, Pune for Rent","Kunal Icon Rd, PCMC play ground, Vision Flora","40,000No Extra Maintenance",1 Lac,686 sqft 58.31 per Sq.Ft.,Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Nigdi, Pune for Rent","Kohinoor Building, Chowk, Tilak Rd,, near Pradeep Sweets Nigdi",1 LacNo Extra Maintenance,8 Lacs,"2,700 sqft 37.04 per Sq.Ft.",Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Ravet, Pune for Rent","panchvati society, near sonigira presidency ","30,000No Extra Maintenance",1.5 Lacs,"1,500 sqft 20.00 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Bhosari, Pune for Rent","Pune - Nashik Hwy, IndianOil",1.5 LacsNo Extra Maintenance,5 Lacs,"4,350 sqft 34.48 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Wadgaon Sheri, Pune for Rent","Adarsh Nagar, , St. Arnold's Central School","50,000No Extra Maintenance",1.5 Lacs,"1,200 sqft 41.67 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimple Saudagar, Pune for Rent","Kunal Icon Rd, Sujata Mastani","26,000No Extra Maintenance","75,000",233 sqft 111.59 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
